Average,City,Code,Direction,Full,Maximum,Minimum,Month,Precipitation,WindSpeed,State,Day,Year
41,Washington,DCA,29,1/3/2016,49,33,1,0,4.83,Virginia,3,2016
10,Deer Park,DEW,24,1/3/2016,22,-2,1,0.07,6.2,Washington,3,2016
12,Ephrata,EPH,34,1/3/2016,20,3,1,0.07,7.2,Washington,3,2016
26,Olympia,OLM,11,1/3/2016,37,14,1,0.02,0.5,Washington,3,2016
34,Quillayute,UIL,6,1/3/2016,46,22,1,0,2.53,Washington,3,2016
35,Seattle,SEA,6,1/3/2016,42,28,1,0.02,4.96,Washington,3,2016
12,Spokane,GEG,2,1/3/2016,20,3,1,0.09,5.2,Washington,3,2016
16,Yakima,YKM,30,1/3/2016,24,8,1,0.26,3.2,Washington,3,2016
33,Beckley,BKW,27,1/3/2016,40,26,1,0,7.6,West Virginia,3,2016
37,Charleston,CRW,24,1/3/2016,43,31,1,0,7.23,West Virginia,3,2016
32,Elkins,EKN,24,1/3/2016,38,27,1,0,5.26,West Virginia,3,2016
36,Huntington,HTS,24,1/3/2016,43,28,1,0,6.23,West Virginia,3,2016
23,Green Bay,GRB,27,1/3/2016,28,17,1,0,9.4,Wisconsin,3,2016
25,La Crosse,LSE,27,1/3/2016,32,17,1,0,8.16,Wisconsin,3,2016
24,Madison,MSN,28,1/3/2016,29,18,1,0,5.6,Wisconsin,3,2016
26,Milwaukee,MKE,28,1/3/2016,30,21,1,0,10.96,Wisconsin,3,2016
21,Casper,CPR,22,1/3/2016,28,13,1,0,16.13,Wyoming,3,2016
23,Cheyenne,CYS,27,1/3/2016,38,7,1,0,8.33,Wyoming,3,2016
11,Lander,LND,27,1/3/2016,21,0,1,0,0.43,Wyoming,3,2016
3,Rawlins,RWL,16,1/3/2016,19,-13,1,0,1.9,Wyoming,3,2016
22,Sheridan,SHR,21,1/3/2016,36,7,1,0,0.8,Wyoming,3,2016
44,Birmingham,BHM,12,1/10/2016,52,36,1,0.52,6.55,Alabama,10,2016
43,Huntsville,HSV,13,1/10/2016,50,34,1,0.43,8.34,Alabama,10,2016
49,Mobile,MOB,14,1/10/2016,57,39,1,0.13,6.58,Alabama,10,2016
47,Montgomery,MGM,15,1/10/2016,55,38,1,0.11,7.55,Alabama,10,2016
28,Anchorage,ANC,12,1/10/2016,33,22,1,0,4.02,Alaska,10,2016
36,Annette,ANN,24,1/10/2016,43,27,1,0.48,5.42,Alaska,10,2016
28,Bethel,BET,7,1/10/2016,35,21,1,0.03,18,Alaska,10,2016
